,University_id,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
102,123557,0,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
363,123818,0,1584,1456,891,6,18,3471,911,5016,3798,540,2256,48,48,28.8,12,3871,59
674,124129,0,848,560,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48
157,123612,1,585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,8643,72
690,124145,1,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47
263,123718,1,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47
681,124136,1,2057,1807,828,26,53,4106,982,11712,4037,500,800,80,80,13.8,13,8546,89
772,124227,0,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21.0,14,4469,40
678,124133,0,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36
548,124003,1,191,165,63,5,25,494,574,11550,4270,300,500,43,77,14.5,8,9209,40
650,124105,0,1757,979,394,32,74,2033,1078,5972,3420,600,750,77,83,13.0,11,7011,37
29,123484,1,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71
56,123511,0,6773,3028,1025,15,55,5847,946,7844,2948,500,1680,66,68,18.0,19,7041,75
402,123857,1,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73
156,123611,1,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54
228,123683,1,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
705,124160,1,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,7164,68
178,123633,1,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
74,123529,1,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
48,123503,1,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82
542,123997,1,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65
499,123954,1,876,802,367,14,35,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78
516,123971,1,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
126,123581,1,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
85,123540,1,100,90,35,10,52,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52
543,123998,1,372,362,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,10938,49
88,123543,1,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
422,123877,1,616,514,385,29,52,1115,60,9840,2820,450,822,59,59,14.8,20,6261,58
329,123784,1,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
314,123769,1,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61
594,124049,1,247,189,100,19,49,309,639,11412,6430,500,900,89,93,8.3,37,11806,96
522,123977,1,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100
260,123715,1,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72
500,123955,1,150,130,88,23,50,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75
262,123717,1,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
659,124114,0,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
518,123973,1,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
746,124201,0,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61
448,123903,1,838,651,159,11,25,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48
352,123807,1,549,397,169,26,51,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61
531,123986,0,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53
14,123469,1,494,313,157,23,46,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55
399,123854,1,510,485,334,18,36,1114,94,7400,3346,600,600,57,57,19.8,7,6869,58
31,123486,1,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13.0,33,11361,71
496,123951,1,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76
236,123691,1,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,60
208,123663,1,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83
393,123848,1,368,317,159,20,49,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64
240,123695,1,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80
154,123609,1,995,789,398,26,47,1306,122,6230,3526,400,600,42,44,13.0,4,8189,63
18,123473,1,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46
369,123824,0,6011,3075,960,22,60,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71
411,123866,0,4809,3089,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44
749,124204,1,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80
613,124068,1,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93
374,123829,1,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
745,124200,0,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76,79,19.4,4,4599,52
538,123993,1,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13.0,12,5309,36
9,123464,1,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52
4,123459,1,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
223,123678,0,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19.0,10,7762,34
380,123835,1,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
437,123892,1,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87
458,123913,1,1082,832,302,34,63,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85
125,123580,0,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51
752,124207,1,1432,920,548,56,84,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85
95,123550,1,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
130,123585,1,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
741,124196,0,3224,2519,1057,11,31,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55
687,124142,1,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57
588,124043,1,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
545,124000,1,323,278,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,64
593,124048,1,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,91
528,123983,1,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
117,123572,1,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77
728,124183,1,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90
158,123613,1,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98
144,123599,1,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99
72,123527,1,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93
734,124189,1,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69
666,124121,1,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15.0,17,11217,63
660,124115,1,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97
424,123879,1,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
162,123617,1,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
718,124173,1,800,623,256,41,76,801,5,12925,4195,500,635,78,85,9.9,55,14904,72
213,123668,1,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
230,123685,1,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
70,123525,1,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97
480,123935,1,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90
497,123952,1,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
296,123751,1,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
720,124175,1,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,89
20,123475,1,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48
172,123627,1,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83
184,123639,1,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59
268,123723,1,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56
334,123789,1,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
735,124190,1,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64
515,123970,1,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
708,124163,1,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
597,124052,1,7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74
16,123471,1,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
242,123697,1,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
733,124188,1,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91
710,124165,1,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96
11,123466,1,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
219,123674,1,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72
469,123924,1,1966,1436,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
547,124002,1,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
596,124051,1,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
575,124030,1,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61
152,123607,1,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
301,123756,1,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
534,123989,1,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
471,123926,1,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70
44,123499,1,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
191,123646,1,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5.0,28,28457,96
668,124123,1,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75,89,11.7,32,11984,100
10,123465,1,1732,1425,472,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73
94,123549,1,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75
468,123923,1,696,616,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,68
692,124147,0,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
684,124139,0,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21.0,4,4696,29
419,123874,0,5891,4931,1973,23,48,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41
661,124116,0,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44
619,124074,0,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
176,123631,0,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
279,123734,0,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98
61,123516,0,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
683,124138,0,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
614,124069,1,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
118,123573,0,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18.0,17,7597,73
626,124081,0,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
620,124075,0,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63
727,124182,0,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56
607,124062,0,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
711,124166,0,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45
633,124088,0,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
664,124119,0,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
483,123938,0,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
743,124198,0,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55
694,124149,0,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9.0,10,16527,65
436,123891,0,4522,3913,2181,29,57,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48
510,123965,0,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
611,124066,0,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16.0,16,10178,71
662,124117,0,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
59,123514,1,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72
606,124061,0,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66
675,124130,0,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
640,124095,0,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
691,124146,0,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37
274,123729,0,16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68
561,124016,0,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18.0,15,8055,80
624,124079,0,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10.0,6,13883,34
563,124018,0,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57
